,state,city,latest_rent,num_incidents,total_killed,total_injured
0,Nevada,North Las Vegas,1196,69,27,36
0,Georgia,Lawrenceville,1365,54,32,30
0,California,Fremont,3150,49,9,18
0,North Carolina,Fayetteville,850,387,116,229
0,Missouri,Springfield,823,333,63,117
0,Virginia,Arlington,2765,63,10,6
0,Texas,Irving,1490,70,28,7
0,Arizona,Gilbert,1545,17,12,9
0,Arizona,Scottsdale,2153,45,28,15
0,New York,Rochester,951,689,94,513
0,North Carolina,Winston-Salem,982,110,14,36
0,California,Irvine,3145,10,5,1
0,Virginia,Richmond,1196,994,244,696
0,Florida,Boca Raton,2244,68,11,18
0,California,Oxnard,2374,245,31,100
0,Florida,Bradenton,1615,201,55,88
0,Alabama,Montgomery,851,483,174,318
0,California,Santa Rosa,2504,77,12,33
0,Iowa,Des Moines,1114,526,55,229
0,Nevada,Reno,1528,232,69,103
0,Washington,Spokane,1084,362,41,90
0,Georgia,Augusta,847,328,73,164
0,Washington,Tacoma,1475,223,57,90
0,Michigan,Grand Rapids,1208,352,45,215
0,California,Oceanside,2354,41,22,13
0,Florida,Gainesville,1208,199,23,60
0,Virginia,Woodbridge,1804,78,10,36
0,Florida,Ocala,989,280,60,126
0,California,Glendale,2959,13,5,2
0,Idaho,Boise,1226,110,23,14
0,South Carolina,Greenville,1226,291,82,129
0,Alabama,Birmingham,747,976,364,626
0,Utah,Salt Lake City,1436,309,41,96
0,California,Huntington Beach,3074,30,11,13
0,Ohio,Akron,747,385,101,196
0,Illinois,Rockford,906,842,77,392
0,California,Salinas,2140,301,108,150
0,Massachusetts,Worcester,1492,381,16,132
0,California,Moreno Valley,1660,62,31,32
0,Arkansas,Little Rock,1026,924,169,590
0,Florida,Port Saint Lucie,1409,72,10,18
0,Texas,Brownsville,907,35,13,16
0,Rhode Island,Providence,1414,589,43,264
0,Texas,Amarillo,1152,315,44,115
0,California,Lancaster,1651,56,34,21
0,Colorado,Fort Collins,1731,48,16,19
0,Louisiana,Shreveport,896,797,154,565
0,Indiana,Evansville,829,332,41,124
0,New York,Yonkers,2535,66,15,44
0,California,Hayward,2668,67,31,36
0,Tennessee,Chattanooga,1108,659,112,529
0,Georgia,Columbus,813,816,110,387
0,Illinois,Aurora,1543,191,29,85
0,California,Ontario,1863,54,21,8
0,Mississippi,Jackson,803,844,246,546
0,Texas,Grand Prairie,1448,30,17,12
0,California,Rancho Cucamonga,2203,27,3,6
0,Kansas,Overland Park,1817,40,14,11
0,Virginia,Newport News,1230,536,107,352
0,California,Garden Grove,2561,32,6,24
0,Texas,Killeen,932,282,75,98
0,Virginia,Roanoke,1023,227,43,157
0,South Dakota,Sioux Falls,1159,262,17,34
0,Arizona,Tempe,1391,74,36,41
0,Washington,Vancouver,1607,183,28,51
0,Alabama,Huntsville,991,518,79,264
0,California,El Cajon,2322,25,11,9
0,California,Palmdale,1727,42,21,27
0,Kansas,Topeka,895,362,70,167
0,California,Elk Grove,1801,27,7,12
0,Colorado,Pueblo,1096,352,46,90
0,Virginia,Fredericksburg,1536,45,12,14
0,Florida,Cape Coral,1504,112,17,32
0,Massachusetts,Springfield,1354,798,48,259
0,Tennessee,Murfreesboro,1385,167,22,65
0,Tennessee,Clarksville,1002,178,54,93
0,Illinois,Naperville,2318,16,1,2
0,Arizona,Peoria,1368,39,10,25
0,Virginia,Fairfax,2473,12,3,5
0,California,Santa Clarita,2546,28,15,5
0,California,Pomona,2038,98,45,62
0,Louisiana,Lafayette,1348,242,65,134
0,Kansas,Kansas City,838,229,138,130
0,Florida,Boynton Beach,1845,199,38,65
0,New York,Syracuse,1054,642,76,392
0,Oregon,Salem,1449,104,28,43
0,Florida,Hollywood,1718,64,15,25
0,New Jersey,Paterson,1469,548,69,285
0,Colorado,Lakewood,1945,6,1,7
0,Virginia,Alexandria,2414,84,18,47
0,Ohio,Dayton,701,1016,137,489
0,Arizona,Yuma,933,42,15,21
0,California,Sunnyvale,3806,10,7,3
0,California,Visalia,1236,109,36,48
0,New Mexico,Las Cruces,986,92,30,35
0,South Carolina,Charleston,1794,217,63,90
0,Texas,Beaumont,1086,132,54,59
0,Texas,Pasadena,1314,36,11,20
0,Connecticut,Bridgeport,1632,630,56,358
0,Oregon,Eugene,1360,79,15,20
0,California,Escondido,2309,33,11,26
0,Delaware,Newark,1477,95,9,25
0,Texas,Sugar Land,2012,24,8,5
0,Texas,Round Rock,1663,46,10,8
0,Virginia,Hampton,1192,360,67,258
0,California,Pasadena,2739,126,20,60
0,California,Torrance,3045,19,12,6
0,South Carolina,Columbia,1069,526,138,306
0,Texas,Tyler,1166,119,25,43
0,Texas,Mesquite,1347,36,15,22
0,California,Fullerton,2729,23,7,10
0,Michigan,Warren,1141,33,5,22
0,Texas,McKinney,1861,1,1,0
0,Utah,West Valley City,1368,9,0,5
0,Washington,Renton,2145,51,13,40
0,Ohio,Canton,820,212,49,82
0,Louisiana,Metairie,1525,121,29,70
0,California,Santa Maria,1809,63,24,20
0,Texas,Edinburg,1114,15,10,10
0,California,Inglewood,2356,46,41,16
0,California,Orange,2916,17,11,6
0,Connecticut,New Haven,1412,411,45,226
0,Georgia,Cumming,1696,19,6,7
0,Michigan,Flint,549,643,166,375
0,Texas,Abilene,1008,134,25,48
0,California,Compton,2101,109,86,56
0,Texas,McAllen,1200,1,0,0
0,Washington,Bellevue,2695,14,2,3
0,Michigan,Saginaw,673,241,55,163
0,Indiana,Bloomington,1255,44,7,18
0,Kansas,Olathe,1661,29,7,13
0,Florida,Miramar,1904,19,6,13
0,Arizona,Queen Creek,1226,2,2,0
0,Florida,Coral Springs,1986,16,6,4
0,California,East Los Angeles,2105,1,1,0
0,Ohio,Hamilton,1183,71,32,42
0,Connecticut,Hartford,1211,588,86,267
0,Connecticut,Stamford,2589,207,7,50
0,Georgia,Savannah,1115,740,159,503
0,California,Simi Valley,2626,16,0,5
0,California,Concord,2535,60,12,23
0,Michigan,Sterling Heights,1447,19,8,5
0,New Jersey,Elizabeth,1683,105,28,63
0,Texas,Frisco,2349,12,5,4
0,Illinois,Joliet,1345,198,46,91
0,Texas,Carrollton,1743,10,6,4
0,Montana,Billings,1288,131,19,30
0,Pennsylvania,Allentown,1163,203,44,110
0,New York,Amherst,1717,7,0,1
0,New Mexico,Santa Fe,1753,116,10,14
0,California,Vallejo,1886,92,53,60
0,Missouri,Independence,920,89,34,44
0,California,Santa Clara,3472,34,10,7
0,North Carolina,Cary,1699,20,7,5
0,Texas,Cypress,1740,27,26,28
0,Texas,Conroe,1541,31,18,8
0,Arizona,Surprise,1310,11,11,2
0,California,Berkeley,3483,72,6,32
0,California,Hemet,1415,48,18,20
0,Oklahoma,Norman,1199,50,18,18
0,Virginia,Falls Church,2398,22,5,8
0,Texas,Denton,1560,28,13,17
0,California,Downey,2443,16,10,12
0,Texas,Waco,964,91,39,68
0,Colorado,Thornton,1856,35,19,8
0,Maryland,Frederick,1650,64,4,23
0,Colorado,Westminster,1880,36,17,14
0,Michigan,Lansing,793,189,40,116
0,California,Victorville,1264,56,19,20
0,Connecticut,Waterbury,1242,83,28,44
0,Florida,New Port Richey,1190,25,5,8
0,California,Temecula,2166,21,11,5
0,Florida,Miami Gardens,1752,127,45,115
0,California,Costa Mesa,3025,12,1,4
0,Georgia,Athens,1126,368,21,72
0,New Hampshire,Manchester,1536,263,11,53
0,California,Vista,2389,23,12,5
0,Minnesota,Rochester,1353,173,8,28
0,California,Tracy,2115,8,6,1
0,California,Ventura,2472,56,8,23
0,California,Murrieta,2047,13,5,1
0,Illinois,Peoria,864,920,40,291
0,California,Chico,1548,121,7,42
0,Michigan,Ann Arbor,1951,54,6,12
0,Massachusetts,Lowell,2004,158,7,44
0,Georgia,Gainesville,1233,54,16,25
0,California,Clovis,1528,24,7,5
0,Massachusetts,Cambridge,2648,35,7,14
0,Nevada,Sparks,1456,73,12,25
0,California,Roseville,1982,18,3,12
0,California,Norwalk,2235,78,25,59
0,California,Redding,1306,48,16,15
0,California,El Monte,2235,39,21,16
0,Texas,College Station,1635,68,5,17
0,California,Burbank,3019,38,10,10
0,Utah,West Jordan,1500,21,6,8
0,Idaho,Nampa,1045,54,13,9
0,Washington,Everett,1697,101,18,52
0,Oklahoma,Broken Arrow,1263,41,15,10
0,Utah,Provo,1229,16,2,4
0,South Carolina,Spartanburg,982,233,37,116
0,Oregon,Bend,1707,15,5,7
0,Florida,Palm Bay,1229,60,13,32
0,Alabama,Tuscaloosa,1159,220,40,151
0,Florida,Clearwater,1406,71,25,28
0,Virginia,Springfield,2370,7,2,4
0,North Carolina,Wilmington,1267,447,55,195
0,Florida,Pompano Beach,1595,65,21,27
0,Iowa,Davenport,1111,317,29,95
0,California,Hesperia,1288,28,5,12
0,Colorado,Grand Junction,1190,172,15,20
0,South Carolina,Rock Hill,1113,338,33,90
0,Georgia,Stone Mountain,1118,88,55,45
0,North Dakota,Fargo,1364,83,6,10
0,New Jersey,Edison,2247,9,0,5
0,California,West Covina,2339,26,13,13
0,California,Carlsbad,3158,8,5,2
0,California,Vacaville,2001,20,5,9
0,Kentucky,Bowling Green,1159,79,11,32
0,Texas,Lewisville,1696,18,5,7
0,Oregon,Beaverton,1768,25,10,8
0,Florida,Saint Augustine,1550,64,18,24
0,Florida,West Palm Beach,1599,431,125,259
0,Missouri,Columbia,1133,496,26,143
0,Pennsylvania,Erie,887,181,28,89
0,Iowa,Cedar Rapids,1056,239,27,83
0,North Carolina,Jacksonville,848,68,20,30
0,Georgia,Norcross,1216,47,24,25
0,Texas,Wichita Falls,852,94,25,29
0,Wisconsin,Green Bay,906,63,12,13
0,California,Fairfield,2089,64,19,42
0,California,Madera,1189,35,15,22
0,California,San Mateo,3811,14,3,4
0,California,Merced,1144,130,29,42
0,California,Daly City,3490,9,3,6
0,California,Perris,1635,33,13,22
0,Michigan,Livonia,1343,9,0,7
0,California,San Leandro,2710,50,5,26
0,Michigan,Dearborn,1135,37,8,14
0,California,South Gate,2171,25,18,7
0,Georgia,Sandy Springs,2516,30,7,11
0,New York,Town of Greece,1339,0,0,0
0,New York,Albany,1396,203,14,117
0,Texas,Richardson,1851,8,4,4
0,Virginia,Portsmouth,1167,271,58,208
0,Texas,Longview,1181,154,52,59
0,Maryland,Laurel,2006,44,13,13
0,Florida,Orange Park,1230,34,11,17
0,Florida,Vero Beach,1443,83,19,29
0,Florida,Spring Hill,1148,46,11,13
0,Georgia,Duluth,1441,16,10,8
0,Florida,Davie,1953,8,2,4
0,Pennsylvania,West Chester,2222,6,3,1
0,Maryland,Columbia,2159,22,6,10
0,Massachusetts,Newton,3010,2,0,0
0,Massachusetts,Brockton,1724,432,17,105
0,Georgia,Albany,777,216,41,101
0,Florida,Lakeland,1121,87,41,40
0,Kansas,Lawrence,1305,62,14,38
0,Florida,Lehigh Acres,1198,116,28,52
0,California,Napa,2548,11,7,5
0,California,Mission Viejo,3032,4,7,0
0,California,Santa Cruz,3114,52,10,16
0,New Jersey,Lakewood Township,1843,0,0,0
0,California,Antioch,2139,140,45,78
0,Colorado,Centennial,2227,1,0,1
0,Florida,Riverview,1402,30,8,9
0,Wisconsin,Kenosha,1211,50,12,29
0,Indiana,South Bend,702,340,65,218
0,Colorado,Arvada,1983,22,12,4
0,Oklahoma,Lawton,694,121,26,71
0,Maryland,Annapolis,2179,178,20,54
0,Michigan,Clinton Township,1206,18,5,5
0,California,Rialto,1699,22,7,9
0,California,Indio,1847,65,19,27
0,Colorado,Highlands Ranch,2384,2,4,0
0,Massachusetts,New Bedford,1305,241,19,50
0,Washington,Federal Way,1884,63,29,27
0,Oregon,Hillsboro,1729,28,5,6
0,Utah,Sandy,1641,20,7,15
0,Illinois,Champaign,1106,213,26,81
0,Pennsylvania,Bethlehem Township,1719,0,0,0
0,Colorado,Greeley,1427,66,14,24
0,Michigan,Canton,1693,5,0,1
0,Illinois,Elgin,1556,62,7,28
0,Idaho,Meridian,1364,24,7,7
0,California,Santa Monica,4560,14,11,10
0,Washington,Kennewick,1413,54,14,9
0,Washington,Yakima,1144,111,38,55
0,Indiana,Muncie,752,87,19,46
0,Georgia,Valdosta,902,166,24,74
0,Florida,Plantation,1862,25,9,11
0,Georgia,Lithonia,1048,75,44,33
0,Michigan,Kalamazoo,933,178,33,78
0,Wyoming,Cheyenne,1323,66,18,17
0,Virginia,Lynchburg,982,100,20,50
0,Georgia,McDonough,1263,0,0,0
0,Indiana,Terre Haute,730,66,16,30
0,California,Livermore,2990,17,5,10
0,Texas,Bryan,1306,68,19,23
0,Indiana,Elkhart,914,101,33,59
0,Texas,San Angelo,1179,75,22,22
0,Illinois,Decatur,828,140,23,76
0,Minnesota,Duluth,1247,65,5,18
0,Florida,Sunrise,1645,8,2,4
0,Utah,Orem,1338,23,6,4
0,South Carolina,Anderson,948,172,41,102
0,Florida,Miami Beach,2224,65,16,30
0,Massachusetts,Fall River,1398,135,6,35
0,North Carolina,Concord,1240,50,14,13
0,Arizona,Flagstaff,1806,30,15,11
0,Texas,Allen,1932,7,2,7
0,Tennessee,Franklin,2491,24,2,4
0,Virginia,Herndon,2409,5,1,2
0,Virginia,Midlothian,1720,4,2,0
0,New Jersey,Toms River,1862,19,4,10
0,New Jersey,Trenton,1278,729,85,477
0,Texas,Pearland,1893,18,9,8
0,Minnesota,Bloomington,1608,4,0,2
0,New Hampshire,Nashua,1769,63,5,19
0,Oklahoma,Edmond,1469,38,8,16
0,North Carolina,Chapel Hill,1859,26,7,9
0,Virginia,Williamsburg,1752,30,8,10
0,Pennsylvania,Reading,753,61,28,41
0,Illinois,Cicero,1391,13,5,7
0,Michigan,Holland,1218,31,7,6
0,Michigan,Westland,1103,12,7,4
0,Iowa,Sioux City,951,87,8,35
0,Maryland,Bowie,2133,23,10,5
0,Georgia,Kennesaw,1441,23,12,9
0,Colorado,Boulder,2515,35,9,7
0,New Jersey,Clifton,1774,25,2,3
0,Connecticut,Norwalk,2373,75,8,34
0,California,Citrus Heights,1531,30,14,10
0,California,Buena Park,2516,6,2,5
0,New York,Town of Poughkeepsie,1735,0,0,0
0,Indiana,Gary,757,492,172,323
0,Florida,Apopka,1402,65,20,35
0,Michigan,Troy,1958,19,2,3
0,Maryland,Germantown,1804,14,8,11
0,California,Richmond,2380,160,68,102
0,California,Hawthorne,2505,21,19,17
0,Arizona,San Tan Valley,1095,5,3,3
0,Tennessee,Johnson City,995,97,21,23
0,California,Chino,2142,11,5,5
0,Ohio,Parma,1089,8,0,5
0,Mississippi,Gulfport,922,170,41,65
0,Virginia,Suffolk,1465,78,12,57
0,Michigan,Macomb Township,1800,4,2,0
0,Washington,Spokane Valley,1198,2,0,0
0,South Carolina,Lexington,1238,19,8,4
0,Michigan,Farmington Hills,1888,3,0,1
0,Utah,Ogden,1002,54,15,22
0,California,Alhambra,2437,9,3,2
0,Virginia,Leesburg,2346,9,5,4
0,Washington,Kent,1943,64,26,34
0,Georgia,Acworth,1392,18,9,11
0,Colorado,Loveland,1679,31,11,8
0,Virginia,Sterling,2117,19,2,4
0,Tennessee,Cleveland,939,40,17,12
0,Georgia,Douglasville,1135,22,16,15
0,California,Redwood City,4008,9,2,3
0,Massachusetts,Quincy,2299,39,0,4
0,Connecticut,Danbury,1906,21,3,3
0,California,Arden-Arcade,1597,0,0,0
0,Colorado,Parker,2402,14,4,2
0,Mississippi,Hattiesburg,1129,140,27,72
0,Michigan,Utica,1266,2,0,1
0,Maryland,Glen Burnie,1745,93,8,20
0,Missouri,Lees Summit,1464,16,5,7
0,Georgia,Dalton,994,23,9,8
0,Georgia,Woodstock,1454,14,4,7
0,Virginia,Ashburn,2476,10,3,2
0,Tennessee,Jackson,911,342,48,156
0,California,Watsonville,2559,64,11,24
0,New Mexico,Rio Rancho,1200,24,11,12
0,Kentucky,Owensboro,911,66,10,25
0,Georgia,Roswell,2092,18,5,7
0,California,Lakewood,2447,10,5,6
0,Colorado,Longmont,1882,25,1,6
0,Georgia,Newnan,1340,43,12,21
0,Oregon,Medford,1389,129,15,13
0,Arkansas,Fort Smith,853,89,19,32
0,Rhode Island,Cranston,1630,47,1,10
0,New Jersey,Camden,1400,253,124,80
0,Florida,Melbourne,1245,91,9,42
0,Louisiana,Houma,1077,92,26,36
0,California,Tustin,2928,12,9,1
0,Minnesota,Brooklyn Park,1535,4,0,1
0,Illinois,Bloomington,1255,56,3,18
0,California,Walnut Creek,3272,8,4,4
0,Georgia,Conyers,1069,32,10,9
0,Florida,Town 'n' Country,1340,0,0,0
0,California,Whittier,2401,47,28,28
0,Florida,Milton,1098,24,10,7
0,Massachusetts,Lawrence,1742,73,21,30
0,Wisconsin,Eau Claire,1160,37,8,5
0,California,Thousand Oaks,3048,4,3,1
0,California,Upland,2419,7,4,5
0,Iowa,Iowa City,1480,67,3,15
0,California,Manteca,1706,15,5,8
0,Indiana,Greenwood,1303,33,6,18
0,Illinois,Arlington Heights,1996,11,1,5
0,Texas,Mission,1161,8,3,2
0,South Carolina,Sumter,796,74,20,30
0,California,Carson,2503,36,25,11
0,Texas,New Braunfels,1507,24,7,10
0,Pennsylvania,Bethlehem,1303,61,6,24
0,California,Mountain View,4090,11,5,0
0,Illinois,Evanston,1922,84,8,28
0,California,Bellflower,2327,22,14,14
0,Florida,Plant City,1296,42,15,19
0,California,Westminster,2715,5,3,5
0,Georgia,Warner Robins,902,86,21,41
0,Georgia,Covington,1037,55,24,14
0,California,Covina,2299,19,8,5
0,Michigan,Shelby Township,1549,0,0,0
0,Texas,Pflugerville,1643,16,3,11
0,Illinois,Waukegan,1289,51,12,26
0,Arkansas,Conway,979,38,11,18
0,Washington,Redmond,2625,6,4,1
0,North Carolina,High Point,885,113,30,71
0,Massachusetts,Somerville,2554,6,2,1
0,Connecticut,New Britain,1419,38,7,27
0,Georgia,Macon,813,483,89,329
0,New York,Cheektowaga,1200,7,1,0
0,Tennessee,Maryville,1149,20,4,8
0,Utah,Saint George,1343,18,2,4
0,California,Pittsburg,2098,41,15,19
0,Indiana,Valparaiso,1537,23,4,3
0,Florida,Largo,1283,29,15,9
0,California,Redlands,1895,16,7,5
0,Florida,Oviedo,1705,11,1,6
0,Florida,Palm Coast,1340,73,11,15
0,Missouri,Saint Joseph,707,65,17,23
0,South Carolina,North Charleston,1287,395,111,190
0,Michigan,Southfield,1362,34,11,21
0,Texas,League City,1967,13,7,2
0,Florida,Deltona,1153,80,19,37
0,California,Turlock,1427,30,18,11
0,Rhode Island,Pawtucket,1440,74,7,26
0,Michigan,Rochester Hills,1985,3,0,0
0,Missouri,Saint Charles,1370,22,8,7
0,North Carolina,Lexington,832,46,12,24
0,California,Porterville,1113,35,7,12
0,California,Folsom,2198,3,1,1
0,Florida,Sanford,1286,88,18,50
0,Florida,Kendall,2026,3,2,1
0,California,Tulare,1157,33,24,10
0,California,Baldwin Park,2113,22,8,15
0,Washington,Lynnwood,2119,23,5,7
0,California,Lake Forest,2970,1,0,1
0,Delaware,Wilmington,1155,815,120,549
0,California,San Ramon,3641,3,0,1
0,New York,New Rochelle,3225,12,3,4
0,West Virginia,Huntington,860,201,26,113
0,California,Camarillo,2613,9,5,1
0,Oregon,Springfield,1214,40,10,13
0,Texas,Pharr,925,11,7,5
0,California,Petaluma,2648,12,3,4
0,California,La Mesa,2376,17,4,8
0,California,Huntington Park,2154,5,4,2
0,South Carolina,Simpsonville,1521,28,10,4
0,Indiana,Hammond,1011,120,39,68
0,Florida,Palm Harbor,1512,10,1,2
0,Virginia,Stafford,1901,39,14,16
0,New York,Town of Colonie,1664,0,0,0
0,Georgia,Canton,1492,14,8,7
0,South Carolina,Mount Pleasant,2388,28,4,6
0,Illinois,Plainfield,1806,18,5,6
0,New Jersey,Cherry Hill,2064,7,1,3
0,Florida,Brandon,1388,32,11,6
0,Tennessee,Kingsport,864,61,7,25
0,Iowa,Council Bluffs,1035,76,6,27
0,North Carolina,Asheville,1403,142,25,64
0,California,Pleasanton,3491,8,2,0
0,Georgia,Smyrna,1485,20,7,10
0,New Jersey,Brick,1807,6,2,0
0,Oregon,Gresham,1738,33,10,16
0,North Carolina,Greenville,987,266,23,114
0,Massachusetts,Framingham,2338,53,2,10
0,Florida,Lauderhill,1379,11,3,9
0,California,Apple Valley,1252,38,9,11
0,Washington,Kirkland,2484,10,5,1
0,Hawaii,Waipahu,2343,9,0,3
0,California,Redondo Beach,3516,8,4,4
0,California,Yuba City,1393,15,7,5
0,North Dakota,Bismarck,1695,96,9,17
0,South Carolina,Greer,1393,47,9,11
0,North Carolina,Mooresville,1502,22,2,13
0,Arizona,Casa Grande,987,16,9,6
0,North Carolina,Salisbury,978,173,38,81
0,Virginia,Centreville,2105,4,1,1
0,California,San Marcos,2500,9,5,4
0,Washington,Pasco,1286,48,15,25
0,Georgia,Rome,988,226,22,41
0,Rhode Island,Warwick,1544,26,0,2
0,Washington,Bremerton,1454,15,5,7
0,California,Spring Valley,2246,14,3,8
0,Montana,Great Falls,1196,48,7,11
0,Missouri,O Fallon,1535,12,4,0
0,Michigan,Waterford,1305,12,4,0
0,New Jersey,Passaic,1722,30,5,24
0,Illinois,Schaumburg,1656,2,1,1
0,California,Lodi,1521,33,14,14
0,Maryland,Ellicott City,2707,8,6,3
0,Indiana,West Lafayette,1338,12,2,6
0,Minnesota,Plymouth,1900,0,0,0
0,Maryland,Waldorf,1871,37,11,16
0,Washington,Marysville,1757,35,6,11
0,Wyoming,Casper,1163,239,13,11
0,California,Hanford,1178,20,3,12
0,California,Lynwood,2150,22,18,5
0,Ohio,Youngstown,569,304,61,101
0,Texas,Flower Mound,2380,9,1,3
0,Arizona,Avondale,1201,29,19,14
0,Texas,Temple,1086,50,18,29
0,Indiana,Kokomo,770,50,9,17
0,California,San Rafael,3985,10,2,3
0,California,Palo Alto,6000,22,7,15
0,California,Milpitas,3245,14,6,1
0,Maine,Portland,1854,52,6,14
0,Arkansas,Jonesboro,1083,251,27,74
0,New Jersey,Union City,2078,7,0,4
0,California,Union City,2981,13,5,7
0,Louisiana,Kenner,1348,123,16,33
0,Iowa,Dubuque,1112,60,3,23
0,Illinois,Palatine,1755,9,2,5
0,Texas,Tomball,1678,18,2,8
0,Texas,The Woodlands,2314,0,0,0
0,Indiana,Lafayette,911,156,14,40
0,Arkansas,North Little Rock,840,122,46,51
0,Iowa,Waterloo,825,483,17,107
0,Florida,Port Charlotte,1496,23,9,6
0,Virginia,Vienna,3159,2,1,1
0,New Jersey,East Orange,1516,33,20,16
0,Florida,Weston,2470,1,0,0
0,California,Chino Hills,2940,4,1,1
0,Washington,Bellingham,1597,37,10,8
0,Maryland,Salisbury,1202,46,14,18
0,Virginia,Winchester,1369,10,3,3
0,Kansas,Manhattan,1269,45,3,18
0,California,Alameda,3237,18,4,6
0,Minnesota,Eagan,1728,3,1,2
0,Florida,Daytona Beach,1125,177,28,94
0,California,Pico Rivera,2220,27,15,10
0,Wisconsin,Racine,1013,186,17,56
0,Maryland,Bel Air,1748,7,4,3
0,Louisiana,Denham Springs,1356,25,11,7
0,Pennsylvania,York Township,1385,0,0,0
0,Louisiana,Bossier City,1204,88,18,34
0,Washington,Auburn,1865,34,21,15
0,North Carolina,Gastonia,1001,84,24,35
0,South Carolina,Conway,1194,130,21,59
0,Oregon,Corvallis,1730,19,5,4
0,Michigan,West Bloomfield,2050,3,1,0
0,Georgia,Brunswick,1048,84,21,41
0,New York,Mount Vernon,2422,41,15,35
0,Florida,Venice,1991,8,1,3
